orgope,mpio_inegi,estado
Organismo Operador de Agua Potable de Villa de Reyes (OOAPVR),Villa de Reyes,San Luis Potosí
Junta de Agua Potable y Alcantarillado del Municipio de Ahome (JAPAMA),Ahome,Sinaloa
Junta Municipal de Agua Potable y Alcantarillado de Badiraguato (JUMAPAB),Badiraguato,Sinaloa
Junta de Agua Potable y Alcantarillado de Culiacán (JAPAC),Culiacán,Sinaloa
Junta Municipal de Agua Potable y Alcantarillado de Guasave (JUMAPAG),Guasave,Sinaloa
Junta Municipal de Agua Potable y Alcantarillado de Mazatlán (JUMAPAM),Mazatlán,Sinaloa
Junta de Agua Potable y Alcantarillado de Navolato (JAPAN),Navolato,Sinaloa
Junta Municipal de Agua Potable y Alcantarillado de Salvador Alvarado (JAPASA),Salvador Alvarado,Sinaloa
Organismo Operador de Agua Potable Alcantarillado y Saneamiento de Agua Prieta (OOMAPAS),Agua Prieta,Sonora
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Caborca (OOMAPAS),Caborca,Sonora
Comisión Estatal del Agua Empalme (CEA),Empalme,Sonora
Comisión Estatal de Agua de Guaymas (CEA),Guaymas,Sonora
Agua de Hermosillo (AGUAH),Hermosillo,Sonora
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Huatabampo (OOMAPASH),Huatabampo,Sonora
Organismo Operador de Agua Potable Alcantarillado y Saneamiento de Huepac (OOMAPAS),Huépac,Sonora
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Navojoa  (OOMAPASN),Navojoa,Sonora
Organismo Operador Municipal de Agua Potable y Saneamiento de Nogales (OOMAPAS),Nogales,Sonora
Organismo Operador de Agua Potable Alcantarillado y Saneamiento de Pitiquito (OOMAPAS),Pitiquito,Sonora
Organismo Operador Municipal de Agua Potable y Saneamiento de San Luis Río Colorado (OOMAPAS),San Luis Río Colorado,Sonora
Organismo Operador de Agua Potable Alcantarillado y Saneamiento de Villa Hidalgo (OOMAPAS),Villa Hidalgo,Sonora
Sistema de Aguas y Saneamiento del Municipio de Balancán (SASMUB),Balancán,Tabasco
Comisión Estatal de Agua y Saneamiento de Tabasco (CEAS),Centro,Tabasco
Comisión Municipal de Agua Potable y Alcantarillado del Municipio de Altamira Tamaulipas (COMAPA),Altamira,Tamaulipas
Comisión Municipal de Agua Potable y Alcantarillado del Municipio de El Mante Tamaulipas (COMAPA),El Mante,Tamaulipas
Comisión Municipal de Agua Potable y Alcantarillado de González (COMAPA),González,Tamaulipas
Junta de Aguas y Drenaje de Matamoros (JAD),Matamoros,Tamaulipas
Comisión Municipal de Agua Potable y Alcantarillado del Municipio de Nuevo Laredo Tamaulipas (COMAPA),Nuevo Laredo,Tamaulipas
Comisión Municipal de Agua Potable y Alcantarillado de Reynosa (COMAPA),Reynosa,Tamaulipas
Comisión Municipal de Agua Potable y Alcantarillado de Río Bravo (COMAPA),Río Bravo,Tamaulipas
Comisión Municipal de Agua Potable y Alcantarillado de Tampico (COMAPA),Tampico,Tamaulipas
Comisión Municipal de Agua Potable y Alcantarillado de Ciudad Victoria  (COMAPA),Victoria,Tamaulipas
Comisión de Agua Potable y Alcantarillado del Municipio de Apizaco (CAPAMA),Apizaco,Tlaxcala
Comisión Municipal de Agua Potable de Santa Ana Chiautempan (CAPACH),Chiautempan,Tlaxcala
Comisión de Agua Potable y Alcantarillado del Municipio de Huamantla (CAPMH),Huamantla,Tlaxcala
Comisión de Agua Potable y Alcantarillado del Municipio de Tlaxcala (CAPAM),Tlaxcala,Tlaxcala
Comisión Municipal de Agua Potable y Saneamiento de Acayuca (CMAS),Acayucan,Veracruz de Ignacio de la Llave
Comisión Municipal de Agua Potable y Saneamiento de Coatzacoalcos (CMAS),Coatzacoalcos,Veracruz de Ignacio de la Llave
Hidrosistema de Córdoba,Córdoba,Veracruz de Ignacio de la Llave
Comisión Municipal de Agua Potable y Saneamiento de Cosamaloapan (CMAS),Cosamaloapan de Carpio,Veracruz de Ignacio de la Llave
Comisión del Agua del Estado de Veracruz Oficina Operadora Martínez de La Torre (CMAPS),Martínez de la Torre,Veracruz de Ignacio de la Llave
Comisión del Agua del Estado de Veracruz Sistema Minatitlán (CMAS),Minatitlán,Veracruz de Ignacio de la Llave
Comisión Municipal de Agua Potable y Saneamiento de Pánuco (CMAS),Pánuco,Veracruz de Ignacio de la Llave
Comisión Municipal de Agua Potable y Saneamiento de Papantla (CMAPS),Papantla,Veracruz de Ignacio de la Llave
Comisión del Agua del Estado de Veracruz Oficina Operadorade Pláton Sánchez (CAEV),Platón Sánchez,Veracruz de Ignacio de la Llave
Comisión Municipal de Agua Potable y Saneamiento de Poza Rica (CMAS),Poza Rica de Hidalgo,Veracruz de Ignacio de la Llave
Comisión Municipal de Agua Potable y Saneamiento de Río Blanco (CMAS),Río Blanco,Veracruz de Ignacio de la Llave
Comisión Municipal de Agua Potable y Saneamiento de Tuxpan (CMAS),Tuxpan,Veracruz de Ignacio de la Llave
Sistema de Agua y Saneamiento de Veracruz (SAS),Veracruz,Veracruz de Ignacio de la Llave
Comisión Municipal de Agua Potable y Saneamiento de Xalapa (CMAS),Xalapa,Veracruz de Ignacio de la Llave
Junta de Agua Potable y Alcantarillado de Yucatán (JAPAY),Mérida,Yucatán
Sistema Municipal de Agua Potable y Alcantarillado de Progreso (SMAPAP),Progreso,Yucatán
Sistema de Agua Potable y Alcantarillado del Municipio de Valladolid (SAPAMV),Valladolid,Yucatán
Sistema de Agua Potable Alcantarillado y Saneamiento de Apozol (SIAPASA),Apozol,Zacatecas
Sistema de Agua Potable del Municipio De Saín Alto (SIAPASA),Calera de Víctor Rosales,Zacatecas
